time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Volume,Volume MA,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Plot,Plot,Plot,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,vwaprizz14,vwaprizz14_ema,Plot,Plot,RIZZY-2,a boaring middle line,a_boaring_line,a_boaring_line,buy,sell_sig,sell_sig,sell_sig,sell_sig,test,RSI
1370525400,8.56,8.74,8.56,8.74,8.84584297763199,8.427500000000016,9.843833333333329,NaN,NaN,200,406.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.556036936854667,25.573287742738998,8.556036936854667,25.573287742738998,77.89371200057505,50,90,10,0,0,0,0,0,0,77.89371200057505
1370633400,9,9,9,9,8.876674382105593,8.560000000000016,9.795833333333329,NaN,NaN,100,391.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.60893518437598,26.24470740162393,30.60893518437598,26.24470740162393,86.82570829601909,50,90,10,1,0,0,0,1,1,86.82570829601909
1371054600,9.11,9.11,9.1,9.1,8.921339505684475,8.747500000000016,9.751499999999997,NaN,NaN,588,409.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.99306339864388,27.544488201226592,35.99306339864388,27.544488201226592,89.94947233862862,50,90,10,0,0,0,0,0,1,89.94947233862862
1371061800,9.05,9.05,9.05,9.05,8.94707160454758,8.972500000000016,9.705166666666663,NaN,NaN,299,414.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.92441208592828,30.395144719186817,48.92441208592828,30.395144719186817,72.70932224269546,50,90,10,0,0,0,0,0,1,72.70932224269546
1371238200,9.24,9.24,9.24,9.24,9.005657283638064,9.097500000000016,9.673166666666665,NaN,NaN,100,414.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.489477671478305,32.80772244615901,48.489477671478305,32.80772244615901,88.89111273935904,50,90,10,0,0,0,0,0,1,88.89111273935904
1371483000,9.05,9.05,9.05,9.05,9.014525826910452,9.110000000000017,9.635166666666665,NaN,NaN,1000,459.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.424174102628996,35.02324933368834,49.424174102628996,35.02324933368834,40.665976982446146,50,90,10,0,0,0,0,0,1,40.665976982446146
1371490200,9,9,9,9,9.011620661528362,9.085000000000017,9.595166666666666,NaN,NaN,500,474.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.96678132618749,36.749053599354895,47.96678132618749,36.749053599354895,31.633469300517177,50,90,10,0,0,0,0,0,1,31.633469300517177
1371493800,9,9,9,9,9.00929652922269,9.072500000000016,9.551833333333331,NaN,NaN,600,499.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.862217162389946,38.09747540775957,46.862217162389946,38.09747540775957,31.633469300517177,50,90,10,0,0,0,0,0,1,31.633469300517177
1371663000,8.95,8.95,8.95,8.95,8.997437223378151,9.000000000000016,9.511166666666664,NaN,NaN,100,499.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.12685151040699,39.168058888112554,46.12685151040699,39.168058888112554,16.75094803501777,50,90,10,0,0,0,0,0,1,16.75094803501777
1371666600,8.95,8.95,8.95,8.95,8.98794977870252,8.975000000000016,9.46783333333333,NaN,NaN,100,499.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.57605984034974,39.75579234841084,43.57605984034974,39.75579234841084,16.75094803501777,50,90,10,0,0,0,0,0,1,16.75094803501777
1371670200,8.95,8.95,8.95,8.95,8.980359822962015,8.962500000000016,9.426166666666663,NaN,NaN,100,481.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.21382840826637,40.21686382305825,43.21382840826637,40.21686382305825,16.75094803501777,50,90,10,0,0,0,0,0,1,16.75094803501777
1371745800,8.99,8.99,8.99,8.99,8.982287858369613,8.960000000000017,9.387499999999998,NaN,NaN,100,481.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.8938383230794,40.5737937563944,42.8938383230794,40.5737937563944,79.24477451766735,50,90,10,0,0,0,0,0,1,79.24477451766735
1371825000,9.1,9.1,9.1,9.1,9.00583028669569,8.997500000000016,9.3525,NaN,NaN,284,491.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.75229597701173,40.73092738581005,41.75229597701173,40.73092738581005,95.95317543668811,50,90,10,0,0,0,0,0,1,95.95317543668811
1371843000,9.02,9.02,9.02,9.02,9.008664229356551,9.015000000000015,9.311499999999999,NaN,NaN,600,516.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.77565261376326,42.33689074953714,52.77565261376326,42.33689074953714,44.19890233620273,50,90,10,0,0,0,0,0,1,44.19890233620273
1372275000,8.95,8.95,8.95,8.95,8.996931383485242,9.015000000000015,9.266499999999999,NaN,NaN,100,506.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.44020986682741,43.283999965175845,49.44020986682741,43.283999965175845,22.737257833785335,50,90,10,0,0,0,0,0,1,22.737257833785335
1372689000,8.7,8.7,8.7,8.7,8.937545106788193,8.942500000000015,9.221499999999997,NaN,NaN,100,351.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.20756246381188,43.673808298327316,46.20756246381188,43.673808298327316,5.088508075684246,50,90,10,0,0,0,0,0,1,5.088508075684246
1372692600,8.7,8.7,8.7,8.7,8.890036085430555,8.842500000000014,9.168166666666663,NaN,NaN,100,266.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.549402102411207,42.0572208055385,31.549402102411207,42.0572208055385,5.088508075684246,50,90,10,0,0,0,0,0,1,5.088508075684246
1373290200,8.85,8.85,8.85,8.85,8.882028868344445,8.800000000000015,9.12283333333333,NaN,NaN,600,291.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.14659364382672,40.33580385064359,29.14659364382672,40.33580385064359,66.84765823692712,50,90,10,0,0,0,0,0,1,66.84765823692712
1373473800,8.4,8.4,8.39,8.39,8.783623094675557,8.660000000000014,9.059166666666664,NaN,NaN,1300,348.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.88077026978587,40.00846603986256,37.88077026978587,40.00846603986256,13.393705512276071,50,90,10,0,0,0,0,0,1,13.393705512276071
1373650200,8.35,8.37,8.35,8.37,8.700898475740445,8.577500000000015,8.99183333333333,NaN,NaN,400,363.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.728865666859974,37.704519323462215,22.728865666859974,37.704519323462215,12.522938375109021,50,90,10,0,0,0,0,0,1,12.522938375109021
1373657400,8.37,8.37,8.37,8.37,8.634718780592355,8.495000000000015,8.919166666666664,NaN,NaN,900,398.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.577855556963883,35.15429748792911,18.577855556963883,35.15429748792911,12.522938375109021,50,90,10,0,0,0,0,0,1,12.522938375109021
1375893000,8.48,8.48,8.48,8.48,8.603775024473885,8.402500000000016,8.853499999999999,NaN,NaN,945,440.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.43319481558649,32.924817131616756,18.43319481558649,32.924817131616756,64.00549816873556,50,90,10,0,0,0,0,0,1,64.00549816873556
1376591400,8.32,8.32,8.32,8.32,8.547020019579108,8.385000000000016,8.802833333333332,NaN,NaN,200,421.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.974422813181647,31.731431222492073,23.974422813181647,31.731431222492073,23.60017918991403,50,90,10,0,0,0,0,0,1,23.60017918991403
1377091800,8.01,8.01,8.01,8.01,8.439616015663287,8.295000000000016,8.752833333333333,NaN,NaN,200,416.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.185536593232598,31.12531193859081,27.185536593232598,31.12531193859081,6.848163345162334,50,90,10,0,0,0,0,0,1,6.848163345162334
1377718200,7.82,7.82,7.82,7.82,8.31569281253063,8.157500000000017,8.696499999999999,NaN,NaN,100,416.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.791513250636683,28.94747211353026,14.791513250636683,28.94747211353026,3.6619059227658965,50,90,10,0,0,1,1,0,0,3.6619059227658965
1378305000,8.18,8.18,8.18,8.18,8.288554250024504,8.082500000000017,8.688833333333331,NaN,NaN,335,383.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.75485209969527,26.921789445018927,13.75485209969527,26.921789445018927,65.13450012020604,50,90,10,0,0,0,0,0,0,65.13450012020604
1378312200,8.18,8.18,8.18,8.18,8.266843400019603,8.047500000000017,8.681,NaN,NaN,366,376.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.662543739945576,27.02055668434248,27.662543739945576,27.02055668434248,65.13450012020604,50,90,10,1,0,0,0,1,1,65.13450012020604
